source_key,name,country,primary_language,source_type,status,priority,website_url,metadata_json
batcha-rss-013,GovInfo,United States,en,government,active,critical,https://www.govinfo.gov/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Legislatures, Courts & Government Documents""],""topics"":[""Congress"",""courts"",""budget"",""presidential documents""],""candidate_provenance"":""user-hand-picked-and-verified""}"
phase1-rss-059,The Washington Post,United States,en,news,active,critical,https://www.washingtonpost.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Politics"",""National"",""Technology""],""topics"":[""politics"",""government"",""technology"",""national security""],""candidate_provenance"":""user-hand-picked-and-verified""}"
batcha-rss-012,South China Morning Post,China,en,news,active,critical,https://www.scmp.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""China""],""inventory_sections"":[""Targeted China Coverage""],""topics"":[""China"",""CCP"",""PLA"",""Taiwan"",""US-China"",""technology""],""candidate_provenance"":""user-hand-picked-and-verified""}"
phase1-rss-056,Politico,United States,en,news,active,critical,https://www.politico.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Politics"",""Defense""],""topics"":[""politics"",""Congress"",""defense"",""national security""],""candidate_provenance"":""user-hand-picked-and-verified""}"
batchb-rss-005,Federal Communications Commission,United States,en,government,active,high,https://www.fcc.gov/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Telecommunications, Regulation & Courts""],""topics"":[""telecom"",""spectrum"",""communications policy"",""court filings""],""candidate_provenance"":""user-hand-picked-and-verified""}"
batchb-rss-006,Army Technology,United States,en,news,active,high,https://www.army-technology.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States"",""Indo-Pacific""],""inventory_sections"":[""Defense Technology""],""topics"":[""army"",""defense procurement"",""weapons"",""military technology""],""candidate_provenance"":""user-hand-picked-and-verified""}"
batchb-rss-007,National Guard,United States,en,government,active,high,https://www.nationalguard.mil/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States"",""Indo-Pacific""],""inventory_sections"":[""Defense & Military""],""topics"":[""National Guard"",""military operations"",""exercises"",""readiness""],""candidate_provenance"":""user-hand-picked-and-verified""}"
batchb-rss-008,U.S. Central Command,United States,en,government,active,critical,https://www.centcom.mil/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Defense & Military Commands""],""topics"":[""CENTCOM"",""military operations"",""Iran"",""Middle East"",""security""],""candidate_provenance"":""user-hand-picked-and-verified""}"
phase1-rss-051,Department of Justice,United States,en,government,active,critical,https://www.justice.gov/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Justice, Antitrust & National Security""],""topics"":[""antitrust"",""technology"",""trade"",""national security"",""law enforcement""],""candidate_provenance"":""user-hand-picked-and-verified""}"
